,label,teks,clean
21,3,"Saya kurang yakin produk ini genuine karena hologramnya pun tidak ada dan kartu garansinya pun tidak ada..hanya keterangan saja di dusnya bahwa barang ini Original Resmi Indonesia Bergaransi ..dengan diberi nomor telpon Service Centernya.... Memory yang tersedia ternyata juga tidak sampai 2 TB tetapi 1.81 TB  selisih 0.19 TB ...besar banget selisihnya..tidak mungkin juga terpakai untuk sistemnya sampai begitu banyak...tapi tidak begitu masalah...  Eksternal hardisk ini bekerja bagus, cepat dan  Hadiah hardcase cukup bagus  untuk melindungi barang  ini dari debu dan benturan. Sayangnya saat di registrasi ke Official Webnya WD ternyata Identification Numbernya tidak dikenal..tidak valid...alias barang ini bukan asli..alias KW.. Seller responsif sayangnya tidak memberitahu asli tidaknya barang ini. Pengiriman terhitung cepat..dalam 2 hari barang sudah di tangan.. Mudah2an saja barang ini awet wslaupun tdk original",produk genuine hologram kartu garansi adahanya terang dus barang original resmi indonesia garansi nomor telepon servis centernya memory sedia selisih banget selisihnyatidak pakai sistem banyaktapi eksternal bagus cepat hadiah hardcase bagus lindung barang debu bentur sayang registrasi official webnya wd identification numbernya dikenaltidak validalias barang aslialias kau penjual responsif sayang memberitahu asli tidak barang kirim hitung cepatdalam barang tangan mudah barang awet wslaupun tidak original
22,3,barang bagus peking rapih. gua rekomendasikan banget lah klo barangnya.cma sayang pengiriman lama kaya ampas jne dioper sana sini barang gua ga ga muncul2 harus di komplen dlu cs ny kali baru ngerti. mending buat pengiriman lain deh lbi bgus,barang bagus peking rapih saya rekomendasi banget kalau barangnyacma sayang kirim kaya ampas jne oper barang saya tidak tidak muncul komplen dulu cs ny kali ngerti mending kirim deh lbi bgus
23,5,"Mantab, speed konsisten, total size asli 1.81gb, pas. Sejauh ini masih normal digunakan. Nice job seller n Lazada 👍🏻",mantap speed konsisten total size asli pas normal nice job penjual n lazada
24,1,"barang belum terima....pihak lazada bilang sidah diterima. cek di JNE lhoksukon aceh utara barang tidak ada...ada masalah, petigasnya tdk ramah, dan tdk ada solusk. mana yg benar. email ke CS JNE sama CS Lazada tdk ada reapon. bagaimana nasih barang saya harga 1 jt an",barang terimapihak lazada bilang sidah terima cek jne lhoksukon aceh utara barang adaada tigas tidak ramah tidak solusk yang email cs jne cs lazada tidak reapon nasih barang harga jt an
25,5,Smuanya mntap..,smuanya mantap
26,5,"pengiriman cepat, hr ini kirin lusa udh terima. packing rapi pake bubble jg. kwalitas product oke. Tq.",kirim cepat hari kirin lusa sudah terima packing rapi pakai bubble juga kwalitas produk oke terimakasih
27,5,Saya rekomendasikan beli disini,rekomendasi beli
28,5,sudah sampaiii,sampaiii
29,5,"warna sesuai pesanan, spek persis, ok dah",warna sesuai pesan spek persis ok sudah
30,4,"thanks, respon cepat Hdd Ext 2TB sampai sesuai pesanan.",terimakasih respon cepat ext sesuai pesan
31,5,"Original, Packing rapi.",original packing rapi
32,5,Barang good condition and delivery ok,barang good kondisi and delivery ok
33,4,"Foto produk sesuai dengan asli. Warna birunya bagus. Saya pesan, dan bayar produk ini pada tanggal 21 Oktober 2018, dan produk ini datang pada tanggal 23 Oktober 2018 dalam kondisi baik, dan berfungsi untuk Macbook Pro saya meskipun saya harus format dahulu. Saya mendapat bonus poket untuk external HDD saya ini. Mudah-mudahan produk ini awet. Terima kasih Lazada.",foto produk sesuai asli warna biru bagus pesan bayar produk tanggal oktober produk tanggal oktober kondisi fungsi macbook pro format bonus poket external mudahmudahan produk awet terima kasih lazada
34,5,"Packing rapi dan pengiriman tepat waktu. Sejauh ini berfungsi dengan baik, harapannya semoga awet ni barang🙏",packing rapi kirim fungsi harap moga awet ni barang
35,5,"Barangnya bagus, kecil/compaq, dan packing baik",barang bagus kecilcompaq packing
36,5,good Product with reasonable Price,good produk with reasonable harga
37,5,1 HARI ORDER BESOK LANGSUNG SAMPAI FAST RESPON FAST SELLER,order besok langsung fast respon fast penjual
38,5,bagus barangnya⭐⭐⭐⭐⭐,bagus barang
39,5,Mantab.... Reseller nya... Pengiriman cepat dan pakingan ok... Thank's... Reseller dan lazada... Sukses selalu.... Buat reseller dan lazada....,mantap reseller nya kirim cepat paking ok terimakasih reseller lazada sukses reseller lazada
40,5,"packing dan barangnya Ok, namun bonus pouch ukurannya terlalu kecil untuk tempat hardisk nya",packing barang ok bonus pouch ukur nya
41,5,barang asli dan sesuai,barang asli sesuai
42,5,"WD My Passport 4TB, harga paling murah dibanding tempat lain (sudah cek online dan offline), barang bagus (sudah di cek total kapasitas 3.64TB), original (bisa di-register ke web WD nya untuk garansi 3 thn), diberi beberapa software utility free diantaranya WD Security (untuk protect HD agar tdk bisa dibuka orang lain) dan ada bonus pouch, lumayan buat tempat HD nya. :)",wd my passport harga murah banding cek online offline barang bagus cek total kapasitas original register situs wd nya garansi tahun software utility free wd keamanan protect hd tidak buka orang bonus pouch lumayan hd nya
43,5,Pelayanannya baik,layan
44,5,Pengiriman cepat barang di terima dengan baik dan lengkap langsung coba... dapat bonus USB LED dll. Recommended Seller,kirim cepat barang terima lengkap langsung coba bonus usb led dan lain-lain recommended penjual
45,5,"Barang bagus, awet sampai sekarang",barang bagus awet
46,5,"pemasangan anti virus oleh pihak WD secara online, dibantu memasang juga, mantap #Lazadaterpercaya",pasang anti virus wd online bantu pasang mantap lazadaterpercaya
47,3,"Pengiriman cpt smp.  Produk bagus, sesuai gambar. Trims...",kirim cepat smp produk bagus sesuai gambar trims
48,4,"Saya kira antivirusnya ada kasetnya, eh ternyata cuma dikasih nomor serial disuruh download sendiri. Overall bagus lah, pengiriman cepat cuma 1 hari datang",antivirusnya kaset eh kasih nomor serial suruh download overall bagus kirim cepat
49,5,hrg bersaing bagus,harga saing bagus
50,5,"bagus koq. cm gak pake antivirusnya aja, ribet sih :D",bagus koq cm tidak pakai antivirusnya saja ribet sih d
51,5,Ok sesuai sm deksripsi,ok sesuai sama deksripsi
52,2,Gan saya pesan warna biru kok yang datang warna merah?,juragan pesan warna biru warna merah
53,2,Barang yg di kirim tidak sesuai dengan yang di tampilkan,barang yang kirim sesuai tampil
54,5,"Barang sudah sampe, untuk pengriman ke Kupang NTT waktunya termasuk cepat, packing safe dan rapi. Barang sesuai gambar dan spek yang ditawarkan. Tx lazada + kenkez",barang sampai rim kupang ntt cepat packing safe rapi barang sesuai gambar spek tawar tx lazada kenkez
55,5,Tengkyuu.... Barangnya nyampe tepat waktu.... Packing rapi dan savety banget .. Recommended seller,tengkyuu barang sampai packing rapi savety banget recommended penjual
56,4,"Terlambat satu hari, karena kurir sampai dikantor pada malam hari. Jd besoknya baru bisa saya terima. Tp barang saya terima dengan baik. Terima kasih",lambat kurir kantor malam jadi besok terima tetapi barang terima terima kasih
57,5,Barang sesuai pemesanan. Pengiriman cepat(Jakarta),barang sesuai mesan kirim cepatjakarta
58,5,"Harddisk berjalan dengan baik, kelengkapan juga oke",harddisk jalan lengkap oke
59,1,"2bulan pake crashed, pdhl ga prnah jatoh",pakai crashed padahal tidak pernah jatuh
60,5,"Jum'at pesan besoknya nyampai,  Barang bagus, tdk ada cacatnya,  Terima kasih Lazada.",jumat pesan besok nyampai barang bagus tidak cacat terima kasih lazada
61,5,"Maaf baru sempat review.  Secara umum cukup puas dengan layanan penjual. Packing bagus, rapih dan aman. Fisik barang sesuai gambar dan ulasan yang ada di website, hanya saya mis-informasi aja karena ternyata HD External WD ini gak dapat sarungnya.  Overall, saya rekomendasi sellernya. Thanks dan tingkatkan selalu pelayanannya, Sukses!!",maaf tinjau puas layan jual packing bagus rapih aman fisik barang sesuai gambar ulas situs misinformasi saja hd external wd tidak sarung overall rekomendasi sellernya terimakasih tingkat layan sukses
62,4,barang diantar dengan cepat dan sesuai dengan penjelasan yang ada. penjual merespondengan cepat.,barang antar cepat sesuai jelas jual merespondengan cepat
63,3,Item arrived in perfect condition and still working well until today. Fast delivery and great customer service/communication.  Thanks,item arrived in perfect kondisi and masih working well until hari ini fast delivery and great customer servicecommunication terimakasih
64,1,"Ini cuman My Passport biasa, bukan My Passport ULTRA, tulis deskripsi yang bener ya...",cuma my passport my passport ultra tulis deskripsi bener ya
65,5,Awet...,awet
66,5,Untuk semua hardisk kah gan ?,kah juragan
67,5,"Product ok, sesuai dengan foto,pengiriman lebih cepat dari estimasi,ok",produk ok sesuai fotopengiriman cepat estimasiok
68,5,Barang sesuai gambar dan bagus,barang sesuai gambar bagus
69,5,"Barang sampai dengan baik, packingnya bagus. Isi kotaknya lengkap, ada : casing hdd, kabel male-to-male, obeng kecil, baut, sama wadah luar. Alhamdulillaah bisa digunakan dengan baik, semoga awet. Terima kasih :)",barang packingnya bagus isi kotak lengkap casing kabel maletomale obeng baut wadah alhamdulillaah moga awet terima kasih
70,5,"Pengiriman cepat, Packing rapi dan aman.  Barang sesuai deskripsi. Mulai dati pemasangan sampai pemakaian tak ada kendala, bekerja dengan normal.",kirim cepat packing rapi aman barang sesuai deskripsi dati pasang pakai kendala normal
71,5,Packing rapih Semoga awet Thanks lazada,packing rapih moga awet terimakasih lazada
72,5,packingnya rapi barangnya bagus dan murah tq,packingnya rapi barang bagus murah terimakasih
73,3,Lumayan lah untuk harga segini. Sayang ngebaca hdd 700gb lemot euy,lumayan harga gin sayang ngebaca lot euy
74,5,"Cukup puas barang..., trima ksih lazada",puas barang trima kasih lazada
75,5,bagus ..,bagus
76,5,"Barang bekerja dengan baik, harga murah, tapi pengiriman agak lama. Sukses terus lazada.",barang harga murah kirim sukses lazada
77,5,"Cepat sampai, original, sudah di test dan sekarang jd tandem SSD intel saya, terima kasih.",cepat original test jadi tandem ssd intel terima kasih
78,5,"recomended, thx",recomended terimakasih
79,5,"Barang di pesan tanggal13 juli  Tgl14 barang sudah di kirim  Tanggal 26 barang sampai Memang sedikit lama,tapi saya maklum kok karena barang nya dari luar negri Packing rapi Barang berfungsi dengan baik",barang pesan tanggal juli tanggal barang kirim tanggal barang lamatapi maklum barang nya negeri packing rapi barang fungsi
80,5,good dan bisa di pake,good pakai
81,1,"Udah hampir 2 minggu barang belum jg nyampe.order tgl 27 april 2017,status pesanan masi aja dlm proses.gmana ni lazada?",sudah minggu barang juga nyampeorder tanggal april status pesan mas saja dalam prosesgmana ni lazada
82,5,"Barangnya udah sampai, thanks lazada",barang sudah terimakasih lazada
83,1,"Mohon bantuan nya, kok barangnya belom sampai udh 21hari sy tunggu gag kunjung datang, mohon diperhatikan ! Terima kasih",mohon bantu nya barang bom sudah saya tunggu tidak kunjung mohon perhati terima kasih
84,5,Harddisk tahan banting dengan standard Militer. ADATA udah jaminan mutu. Tidak diragukan lagi kualitas produknya.,harddisk tahan banting standar militer adata sudah jamin mutu ragu kualitas produk
85,5,sangat puas. barang sesuai.,puas barang sesuai
86,5,"I bought Adata HD710. This product is really awesome. I feel safe because this product is waterproof, Shockproof, and dustproof. I can save everything without worrying my data will lose. I have no more word to describe how incredible this product is. I just love it. It is nice product.",i bought adata hd this produk is really awesome i feel safe because this produk is waterproof shockproof and dustproof i dapat save segala sesuatu without worrying my data will lose i have nomor more word untuk describe how incredible this produk is i just love it it is nice produk
87,5,Pelayan Bagus ... Barang sesuai Harapan .. Bagus ... terimakasih ya,layan bagus barang sesuai harap bagus terimakasih ya
88,4,Mantab lahh...Pengiriman cepat...,mantap lahhpengiriman cepat
89,1,"Kami menggunakan windows 10 sedangkan  yang dikirim adalah produk untuk windows dibawahnya, dan kamipun sudah mencoba untuk masuk ke windows 7 namun tetap tidak bisa digunakan, kami minta pengembalian dana saja. karna ternyata produk ini tidak sesuai harapan kami.",windows kirim produk windows bawah kami coba masuk windows kembali dana karena produk sesuai harap
90,5,produk sesuai yg di gambar. bagus,produk sesuai yang gambar bagus
91,5,"Barang sampenya cepet banget, sesuai juga. Puasss",barang sampenya cepat banget sesuai puasss
92,5,"Harddisknya bagus, pengirimannya cepat, kemarin dipesan barangnya sdh datang bsknya",harddisknya bagus kirim cepat kemarin pes barang sudah bsknya
93,5,semoga awet..mantap,moga awetmantap
94,5,"Barang bagus,pasang hdd 500gb aman.beneran 3.0 penhgirimannya aja agak lama soalnya ddari luar negeri",barang baguspasang amanbeneran penhgirimannya saja ddari negeri
95,3,lama sampe dan responnya automatic system,sampai responnya otomatis system
96,5,"Rekomendasi, sangat puas",rekomendasi puas
97,5,mantafff 👍,mantafff
98,4,Product ok sesuai foto.,produk ok sesuai foto
99,4,Eksternal HD enclosure murah meriah... dah coba langsung colok ke laptop.. alhamdulillah kebaca semua.,eksternal hd enclosure murah riah sudah coba langsung colok laptop alhamdulillah baca
100,1,Barang bagus namun Saya kurang keroscek Sebelum memesan ternyata itu bukan hardist cuman hanya Chasing doang itu kesalahan saya... makasih,barang bagus keroscek mes hardist cuma chasing saja salah terimakasih
101,3,"hanya salah faham dan saya ingin mengembalikannya itu saja,tapi  bagus sih casingnya cuman saya mau harddisk bukan casing",salah faham kembali sajatapi bagus sih casingnya cuma harddisk casing
102,3,Barang bagus cmn gagal fokus pembelix,barang bagus cmn gagal fokus pembelix
103,1,barang tidak bisa digunakan sebagaimana fungsinya,barang fungsi
104,1,"Mau tanya., ini hardist atau bukn??",hardist bukn
105,1,kesingdoang,kesingdoang
106,3,Ini Hardisk atau hanya BOX nya saja?,box nya
107,1,"Kok saya tunggu dari kemarin2 belum datang,,,",tunggu kemarin
108,1,Gan uda 3 har ko belum nyampek jga barangnya,juragan sudah har ko nyampek juga barang
109,5,barang sudah diterima dan baik2 saja. tidak ada masalah,barang terima
110,2,3tb harga segituu ????,harga segituu
111,5,Mohon tulisan di perjelas...,mohon tulis jelas
112,4,barang bagus..  sesuai deskripsi..  makasiih,barang bagus sesuai deskripsi makasiih
113,4,dicoba langsung josss...,coba langsung josss
114,1,Atas nama jaya Fajarot,nama jaya fajarot
115,5,"baca deskripsi dlu sebelum membeli, ini cuma Disk Box tempat untuk Hardisk bukan hardis 3 TB. di deskripsi tertulis support capacity sampai 3 TB.",baca deskripsi dulu beli disk box hardis deskripsi tulis support capacity
116,2,Tempat hardisk pc apa bukan takut nya sya jadi beli ga muat untk ukuran hardisk pc gan..... Mohon penjelasannya.,pc takut nya saya beli tidak muat untk ukur pc juragan mohon jelas
117,1,ternyata ga bisa dipakai. pdhl udah beli dua..,tidak pakai padahal sudah beli
118,1,barang nya tidak terbaca di laptop,barang nya baca laptop
119,1,"Tampilan bagus tapi,ngk bisa terdeteksi laptop...",tampil bagus tapingk deteksi laptop
120,1,ini kata nya external HD kenapa saya hanya terima kotak kosong saja..,nya external hd terima kotak kosong
121,2,"Clickbait banget ya judulnya, udah beli 2 lagi, ternyata cuma casing, untung dikasih kabel usb",clickbait banget ya judul sudah beli casing untung kasih kabel usb
122,1,Saya mau uang saya dikembalikan !,uang kembali
123,1,wadah exten,wadah exten
124,5,gak mengecewakan,tidak kecewa
125,1,Maaf mas tidak usah dikirim. Maaf sebelumnya.,maaf mas kirim maaf
126,5,lancar,lancar
127,5,gooooddd,gooooddd
128,1,Jangan di beli gan,beli juragan
129,3,Ini Chasenya Doank Ya,chasenya saja ya
130,1,serius gan 3 TB,serius juragan
131,2,Gan tolong cek barangnya kok blm nyampe juga padahal say pesan dari tanggal 17 mei,juragan tolong cek barang belum sampai say pesan tanggal mei
132,5,"kualitas bagus , bahan aluminium dan akhirnya bisa digunakan HDD SSD saya sbg eksternal",kualitas bagus bahan aluminium ssd sebagai eksternal
133,5,mantap......,mantap
134,1,dagang ini PENIPU! bilangnya USB 3.0 tau2 yg dateng USB 2.0! harganya mahal lagi!,dagang tipu bilang usb tau yang datang usb harga mahal
135,5,Barang udah sampe dan bagus semua thx,barang sudah sampai bagus terimakasih
136,5,pesanan sdah sampai trimah kasih,pesan sudah trimah kasih
137,5,"dengan harga segitu tergolong murah, walapun koneksi masih menggunakan usb male - male. tapi produk masih awet.",harga segitu golong murah walapun koneksi usb male male produk awet
138,5,"Bener2 worth it nih udah 1 tahun saya pakai bwt hdd saya ga rusak rusak. Beli, udah ada kabel, sekrup tapi kurang obenggg..aja. Walaupun gitu bagus kok ni hdd",bener worth it nih sudah pakai untuk tidak rusak rusak beli sudah kabel sekrup obengggaja begitu bagus ni
139,4,"(+) pengiriman cepat, sesuai deskripsi + kabel usb male to male, walaupun murah tapi kokoh metal     (-) gampang lecet",kirim cepat sesuai deskripsi kabel usb male untuk male murah kokoh metal gampang lecet
140,5,"Barang sudah sampai, packing rapi, kurir ramah, sudah di coba dan  berfungsi dengan baik, ternyata menggunakan kabel usb 2 male to male, dan ternyatanya lagi, kabel usb'nya ada di dalam case hdd'nya,,, kirain gak ada kabelnya, sudah mesen kabel usb male to male juga ke toko lain, kayaknya akan mubajir kabel satunya,,, :D :D",barang packing rapi kurir ramah coba fungsi kabel usb male untuk male nyata kabel usbnya case hddnya kirain tidak kabel mesen kabel usb male untuk male toko seperti mubajir kabel satu d d
141,3,"Barang mulus, paking rapi, pengiriman cepat, namun tidak muat sama hardisk punya saya, ketebalan nya beda 2mm. Jadi ga muat, terlalu slim",barang mulus paking rapi kirim cepat muat tebal nya beda mm tidak muat slim
142,3,"Barang dateng dengan cepat, pembungkus juga kokoh dan rapih tetapi pas di liat cass ny bnyak yg lecet",barang datang cepat bungkus kokoh rapih pas lihat cass ny bnyak yang lecet
143,4,"Barang percobaan sudah smpai,packing rapih,tpi blm di tes,semoga normal berfungsi,.trimakasih lazada",barang coba smpaipacking rapihtpi belum tessemoga normal berfungsitrimakasih lazada
144,5,mantap gan . . maju terus,mantap juragan maju
145,5,barangnya berfungsi dngan baik..thx seller and lazada,barang fungsi dengan baikthx penjual and lazada
146,3,"Barangnya datang lebih cepat dan bagus, hanya saja kita berharap ada kabel datanya ternyata gak ada",barang cepat bagus harap kabel data tidak
147,5,cukup kokoh...,kokoh
148,4,Password lag Samantha Harga,password lag samantha harga
149,1,kabel ny rusak,kabel ny rusak
150,5,bagus dan praktis belanja online,bagus praktis belanja online
151,4,Barangnya sampai ditujuan dan sesuai gambar dapat kabel USB juga. Terima kasih Lazada,barang tuju sesuai gambar kabel usb terima kasih lazada
152,5,Baca Komentar Di Atas Katanya Ga Ada USB nya TAUNYA ada Di dalemnya Thx LAZADA,baca komentar tidak usb nya tau dalem terimakasih lazada
153,4,Mantapppp barang datang lebih cepatttttt,mantapppp barang cepatttttt
154,4,Barang bagus dan berfungsi baik,barang bagus fungsi
155,4,barang sdah sampai kondisi baik dan sdah di gunakan dengan baik,barang sudah kondisi sudah
156,1,ga dapet kabelnya masa :'( cuma case DOANK hiks,tidak dapet kabel case saja hiks
157,4,Luamayan lah harga segini,luamayan harga gin
158,4,Barang lebih cepat dr estimasi perkiran pengiriman... barang bagus bisa bekerja sesuai keperluan Mantap bosquuu suskes selalu!!!!,barang cepat dari estimasi kir kirim barang bagus sesuai perlu mantap bosquuu suskes
159,4,barang lumayanlah bagus,barang lumayan bagus
160,5,"Barang sudah sampai ditempat,udah di pakai",barang ditempatudah pakai
161,1,"Awalnya bahagia bangat barang dah nyampe dalam 2 hari,  tapi waktu dicolokin ke pc,  hardisknya ga bisa kedetect dg kabel bawaannya. Seharusnya kabelnya dua cabang. Akhirnya harus minjam kabel teman.",bahagia bangat barang sudah sampai dicolokin pc hardisknya tidak kedetect dengan kabel bawa kabel cabang minjam kabel teman
162,4,Packing safety dari benturan. Pengiriman lumayan cepat. Kelengkapan full deskripsi. Cuma sedikit kecewa sama kabelnya agak cepat panas kalau pake bawaan. Tapi jika di ganti kabel yang lain adem normal. Kenapa ya???,packing safety bentur kirim lumayan cepat lengkap full deskripsi kecewa kabel cepat panas pakai bawa ganti kabel adem normal ya
163,4,"barang uda sampe, packing lumayan, pas dibuka kirain gak ada kabel'a eh gak tau'a ada di dlm tmp hdd..  rekomended buat layanan kirim cepat'a krn kemarin sy pesen lazada beberapa item, hdd case inilah yg sampe duluan... 4 bintang dulu yah, brg blm sempet d test pake komptr. thx..",barang sudah sampai packing lumayan pas buka kirain tidak kabela eh tidak taua dalam tmp rekomended layan kirim cepata karena kemarin saya sen lazada item case yang sampai duluan bintang yah barang belum sempet d test pakai komptr terimakasih
164,4,Ni case + power + usb nya? Tinggal masukin harddisk laptopnya ke case yg da drive powernya kan?,ni case power usb nya tinggal masukin harddisk laptop case yang da drive powernya
165,2,Trnyata dpt kabel... Baru smpe blum di tes.. Tar smoga bisa... Tnx,ternyata dapat kabel sampai belum tes nanti semoga tnx
166,5,Walaupun pengiriman agak lama... produk bagus,kirim produk bagus
167,4,"Cocok, berfungsi, cmn tdk ada obeng kecilnya. setau saya hrsnya ada obengnya",cocok fungsi cmn tidak obeng kecil tau harusnya obeng
168,3,apakah sudah tersedia arduino untuk menghubungkan ke harddisk.?,sedia arduino hubung harddisk
169,4,Barang bagus... Kabel usb nya juga ada... Trimakasih,barang bagus kabel usb nya trimakasih
170,5,"Sipp keduanya bekerja baik, thank Gan",sipp thank juragan
171,3,Barang berfungsi dengan baik trims lazada,barang fungsi trims lazada
172,1,"Barang sampai telat, voucher antivirus sudah expired. Ada pertanggung jwbannya gak?",barang telat voucher antivirus expired tanggung jawabannya tidak
173,5,"Packing rapih. nyampenya cepet banget, paling toppppppp",packing rapih nyampenya cepat banget toppppppp
174,4,"Produknya bagus, pengirimannya cukup cepat beli tanggal 29 maret diterima tgl 1 april.  Namun untuk aktivasi antivirusnya tidak bisa. Saran, sebaiknya untuk pengiriman dikasih bubble wrap untuk menjaga kualitas produk saat pengiriman.",produk bagus kirim cepat beli tanggal maret terima tanggal april aktivasi antivirusnya saran kirim kasih bubble wrap jaga kualitas produk kirim
175,1,"paling enak tuh belanja di Lazada ,kenapa? lu semua pembeli kalau mau cari untung di Lazada gampang, jadi gini lu pada beli barang lebih dari tiga biji, misal beli empat, nanti kalau sudah diterima lu pada komplain, bilang aja terima tiga tinggal foto tiga biji produk, yang satu umpetin ,udah lu pasti dipercaya, dan dijamin duit lu balik untuk barang yg dianggap belum dikirim satu lg, GW punya kasus gara2 merchant nama aneka perdana, GW beli enam ,dikirim lima, GW komplain, tapi foto gw g dipercaya karena g di foto sama kemasan, padahal GW beli barang lain yg mahal2 bgt g pernah akal-akalan, ini barang murah g seberapa , harganya g di percaya, lihat aja transaksi GW kan ketahuan, ah udah lah pokoknya mau cari untung di Lazada ikuti cara GW diatas dijamin berhasil ,komplain , Lazada Kiki  no komplain ,  inget nama merchant aneka perdana, masalah sudah sebulan masih gantung !!!!, terima kasih lazada mengalahkan rekor komet ya!!!!!! komplainya, buat jadi pertimbangan lu semua sob ,mudah-mudahan ada manfaatnya",enak tuh belanja lazada kamu beli cari untung lazada gampang gin kamu beli barang biji beli terima kamu komplain bilang saja terima tinggal foto biji produk umpetin sudah kamu percaya jamin duit kamu barang yang anggap kirim lagi saya gara merchant nama aneka perdana saya beli enam kirim saya komplain foto saya tidak percaya tidak foto kemas saya beli barang yang mahal banget tidak akalakalan barang murah tidak harga tidak percaya lihat saja transaksi saya tahu ah sudah pokok cari untung lazada ikut saya atas jamin hasil komplain lazada kiki nomor komplain ingat nama merchant aneka perdana bulan gantung terima kasih lazada kalah rekor komet ya komplainya timbang kamu sob mudahmudahan manfaat
176,5,"Barang sesuai description, pengiriman cepat, HDD udh di chek masih baru segel Seagate, Semoga tahan lama.",barang sesuai description kirim cepat sudah chek segel seagate moga tahan
177,4,(+) Pengepakan rapih (+) Barang Legit (masih tersegel dengan segel seagate dan terdapat warranty file di dalam storagenya) (+) Sesuai deskripsi (-) Pengiriman agak lama (tidak diketahui penyebabnya dari lazada atau sellernya),epak rapih barang legit segel segel seagate warranty file storagenya sesuai deskripsi kirim sebab lazada sellernya
178,2,cara klaim garansi gimana y?,klaim garansi bagaimana y
179,5,kiriman sesuai pesanan,kirim sesuai pesan
180,5,Sesuai dengan ekspektasi.,sesuai ekspektasi
181,4,Packingan rapi barng Dah di test bagus,packingan rapi barng sudah test bagus
182,4,"Barang diterima setelah 3 hari pemesan, phisik brng oke dan moga awet",barang terima mes phisik brng oke moga awet
183,5,"Pengiriman cepat, kondisi barang baguuuuuus, packing rapi, masih di segel, recomended sekaliiiiii",kirim cepat kondisi barang baguuuuuus packing rapi segel recomended sekaliiiiii
184,5,"Tepat waktu pengirimannya, packing rapi , good quality, recomended",kirim packing rapi good kualitas recomended
185,4,"barng sampai cepat, kodisi paket rapi, sesuai dengan diskripsi",barng cepat kodisi paket rapi sesuai skripsi
186,5,"Mantaplah, sdh siap disimpan berbagai data",mantap sudah simpan data
